tanggal,tn,tx,tavg,rh_avg,rr,ss,ddd_x,ddd_car,ff_x,ff_avg
2020-01-01,24.2,32.6,27.6,81,0.0,4.3,350,C ,6,2
2020-01-02,23.3,32.4,27.5,81,0.0,6.5,300,C ,3,1
2020-01-03,23.6,29.8,27.4,86,,3.0,300,W ,5,2
2020-01-04,24.1,29.4,26.0,90,3.5,0.5,270,C ,3,1
2020-01-05,23.0,32.1,27.0,85,1.7,0.2,290,C ,3,1
2020-01-06,20.2,31.2,27.0,83,,4.7,290,C ,5,1
2020-01-07,23.0,33.4,27.6,76,0.0,4.5,320,C ,4,1
2020-01-08,21.4,32.4,27.9,79,,7.8,230,W ,5,1
2020-01-09,21.2,31.2,27.2,84,0.0,4.7,20,W ,5,2
2020-01-10,23.6,33.6,28.1,79,2.6,1.6,290,C ,3,1
2020-01-11,23.6,32.2,27.9,81,0.0,5.0,280,C ,4,1
2020-01-12,23.4,33.0,27.6,78,0.0,4.6,280,C ,3,1
2020-01-13,23.0,33.0,28.3,79,0.0,3.2,50,C ,4,1
2020-01-14,23.1,32.8,28.0,80,0.0,5.3,90,C ,4,1
2020-01-15,23.0,33.2,28.1,78,0.0,7.6,280,C ,4,1
2020-01-16,23.0,33.0,28.3,79,0.0,7.7,60,NE,4,1
2020-01-17,24.0,32.4,27.9,81,,5.8,350,C ,5,2
2020-01-18,23.8,32.6,27.8,82,0.0,3.6,290,C ,4,1
2020-01-19,24.0,33.8,27.9,87,0.0,5.7,50,C ,5,1
2020-01-20,23.4,33.4,28.0,85,20.1,5.0,20,C ,5,1
2020-01-21,24.2,31.6,27.2,84,,4.2,70,C ,6,1
2020-01-22,24.4,32.6,27.4,83,,3.6,50,C ,6,1
2020-01-23,22.8,32.0,27.7,80,3.0,4.3,50,C ,4,1
2020-01-24,22.8,33.4,28.2,83,0.0,5.0,30,C ,3,1
2020-01-25,23.8,34.2,29.1,76,0.0,4.4,80,C ,4,1
2020-01-26,24.0,33.0,28.6,79,0.0,6.4,20,C ,3,1
2020-01-27,25.6,34.2,27.6,82,,1.5,30,C ,5,1
2020-01-28,24.0,33.0,27.7,83,2.5,0.8,280,W ,8,2
2020-01-29,23.4,29.4,25.1,93,51.5,4.3,250,C ,2,0
2020-01-30,22.2,32.0,27.4,83,2.0,0.0,260,C ,5,1
2020-01-31,22.2,31.0,27.0,84,0.0,6.0,290,C ,4,1
2020-02-01,22.1,33.4,28.4,81,,0.3,70,E ,6,2
2020-02-02,24.6,30.8,27.9,85,0.0,6.3,100,C ,5,1
2020-02-03,25.0,31.2,27.4,84,0.4,0.5,160,C ,4,1
2020-02-04,24.2,31.3,27.4,83,0.0,,270,C ,3,1
2020-02-05,23.2,32.6,28.1,78,0.0,3.3,270,C ,6,1
2020-02-06,24.2,32.8,27.8,82,,5.8,20,W ,5,2
2020-02-07,23.2,28.6,26.2,78,,2.7,280,W ,4,2
2020-02-08,23.2,32.0,27.7,79,0.0,0.2,280,C ,2,1
